city_name,datetime,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
Ludhiāna,2016-10-24,0.0,32.2,17.7,24.9,32.3,18.1,24.8,2016-10-24 01:05:00,2016-10-24 12:15:00,40177.9,36978.19,0.0,0.0,0.0,0.0,9.8,23.4,333.0,17.47,4.48
Meerut,1991-12-08,1.0,24.9,11.3,18.0,25.0,10.5,17.7,1991-12-08 01:30:00,1991-12-08 11:51:00,37274.53,33420.19,0.0,0.0,0.0,0.0,7.7,16.2,340.0,13.45,2.4
Meerut,1995-01-22,0.0,17.8,5.4,11.0,13.5,2.2,7.5,1995-01-22 01:42:00,1995-01-22 12:18:00,38199.47,35194.64,0.0,0.0,0.0,0.0,20.8,41.8,301.0,16.46,3.05
Vasai-Virar,1981-08-13,51.0,28.1,25.2,26.7,30.9,29.2,30.1,1981-08-13 00:48:00,1981-08-13 13:38:00,46165.5,19412.04,2.7,2.7,0.0,13.0,25.7,51.8,243.0,10.93,2.78
Alīgarh,1996-01-31,1.0,21.6,4.8,13.4,19.0,1.8,10.8,1996-01-31 01:35:00,1996-01-31 12:26:00,39075.89,36000.0,0.0,0.0,0.0,0.0,7.6,21.2,308.0,17.86,3.24
Meerut,2015-06-01,53.0,38.1,25.5,32.2,40.5,26.1,33.3,2015-05-31 23:50:00,2015-06-01 13:42:00,49932.17,43930.45,0.9,0.9,0.0,3.0,8.1,20.9,105.0,25.27,6.37
Mumbai,2005-08-29,51.0,29.3,24.8,27.2,35.3,30.4,32.8,2005-08-29 00:52:00,2005-08-29 13:26:00,45175.51,40719.47,0.4,0.4,0.0,2.0,13.1,24.8,290.0,21.41,4.27
Aurangābād,2012-07-20,53.0,29.5,23.5,26.0,31.2,25.8,28.1,2012-07-20 00:29:00,2012-07-20 13:39:00,47390.01,31916.14,2.6,2.6,0.0,9.0,22.0,43.9,267.0,16.2,4.13
Supaul,2006-12-17,0.0,26.6,11.6,19.5,27.3,11.2,19.3,2006-12-17 00:53:00,2006-12-17 11:24:00,37830.46,34840.05,0.0,0.0,0.0,0.0,8.8,14.4,300.0,14.74,2.89
Hāora,1996-02-04,0.0,27.4,13.4,20.2,27.1,12.9,19.5,1996-02-04 00:44:00,1996-02-04 11:56:00,40291.05,37538.18,0.0,0.0,0.0,0.0,11.9,28.4,356.0,19.53,4.24
