date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-06-08,Tirupati,1,Satisfactory,53,PM10
2022-10-19,Buxar,1,Moderate,148,PM10
2018-04-07,Hyderabad,6,Satisfactory,77,"OZONE, PM10, PM2.5"
2021-07-14,Satna,1,Satisfactory,62,PM10
2019-03-24,Jaipur,3,Moderate,103,PM10
2021-07-08,Raichur,1,Good,42,PM10
2023-05-13,Bhiwadi,1,Moderate,172,PM10
2019-01-16,Navi Mumbai,1,Moderate,134,PM10
2020-06-05,Moradabad,1,Satisfactory,84,PM10
2023-09-13,Tumidih,1,Good,26,O3
2018-07-14,Pune,1,Satisfactory,55,CO
2018-10-04,Singrauli,1,Poor,216,PM10
2022-09-24,Hubballi,1,Satisfactory,53,CO
2019-12-16,Jalandhar,1,Satisfactory,97,PM2.5
2023-11-01,Rajamahendravaram,1,Satisfactory,93,PM10
2023-11-02,Mandi Gobindgarh,1,Poor,299,PM2.5
2021-07-28,Narnaul,1,Moderate,119,PM10
2023-09-18,Patiala,1,Good,36,O3
2023-12-30,Baghpat,1,Poor,212,PM2.5
2018-01-09,Chandrapur,2,Moderate,146,"PM10, PM2.5"
2016-03-11,Solapur,1,Moderate,127,PM10
2018-10-05,Baghpat,1,Poor,258,PM2.5
2023-10-11,Gummidipoondi,1,Satisfactory,100,PM10
2021-07-15,Hyderabad,5,Good,30,"CO, NO2, SO2"
2021-03-22,Hisar,1,Moderate,125,PM2.5
2020-07-20,Mumbai,8,Good,47,"CO, PM10, SO2"
2019-05-27,Muzaffarpur,1,Moderate,124,PM2.5
2022-05-24,Motihari,1,Moderate,164,O3
2022-11-10,Jodhpur,1,Moderate,147,PM2.5
2020-08-27,Bhiwadi,1,Satisfactory,91,PM2.5
2022-02-14,Ujjain,1,Moderate,123,PM2.5
2018-12-31,Dewas,1,Moderate,173,OZONE
2018-06-19,Jalandhar,1,Poor,257,PM2.5
2018-06-27,Durgapur,1,Satisfactory,92,PM10
2020-11-18,Kochi,1,Satisfactory,92,CO
2022-07-26,Muzaffarpur,2,Satisfactory,66,"CO, PM10"
2021-06-29,Thrissur,1,Satisfactory,55,O3
2018-11-29,Kanpur,1,Very Poor,312,PM2.5
2023-03-13,Guwahati,3,Moderate,184,PM2.5
2021-05-24,Kochi,1,Good,47,CO
2017-05-29,Kolkata,2,Satisfactory,76,"NO2, PM10"
2018-04-18,Nagpur,1,Satisfactory,94,PM10
2018-12-28,Mumbai,1,Moderate,131,PM2.5
2016-09-20,Chennai,3,Good,47,PM2.5
2023-07-15,Bagalkot,1,Good,46,PM10
2021-09-22,Prayagraj,3,Satisfactory,61,"PM10, PM2.5"
2019-01-30,Solapur,1,Moderate,118,PM10
2021-12-12,Moradabad,2,Poor,274,PM2.5
2023-04-17,Rupnagar,1,Moderate,168,PM10
2022-10-25,Faridabad,4,Poor,289,PM2.5
2023-07-10,Ramanathapuram,1,Satisfactory,53,CO
2023-05-26,Gadag,1,Good,46,SO2
2018-12-28,Haldia,1,Moderate,155,PM10
2019-12-06,GandhiNagar,1,Satisfactory,73,PM10
2023-12-31,Parbhani,1,Moderate,121,PM2.5
2020-01-25,Kalyan,1,Poor,201,PM2.5
2018-06-23,Durgapur,1,Moderate,128,PM10
2022-04-09,Hubballi,1,Satisfactory,91,PM10
2019-02-11,Muzaffarpur,1,Poor,265,PM2.5
2022-05-19,Patiala,1,Satisfactory,97,O3
2022-12-26,Muzaffarnagar,1,Very Poor,304,PM2.5
2018-06-22,Jodhpur,1,Poor,236,PM2.5
2023-05-17,Chennai,7,Satisfactory,88,"NO2, PM10"
2023-05-04,Jabalpur,1,Satisfactory,69,O3
2022-12-28,Firozabad,2,Satisfactory,87,PM10
